correct,incorrect
"“Checkmate,” Rosaline announced with glee. She was getting to be really good at chess","“Checkmate,” Rosaline announced with glee. She was getting to be really good at monopoly"
Justin put a second house on Park Place. He and his sister often spent hours playing monopoly,Justin put a second house on Park Place. He and his sister often spent hours playing chess
He caught the pass and scored another touchdown. There was nothing he enjoyed more than a good game of football,He caught the pass and scored another touchdown. There was nothing he enjoyed more than a good game of baseball
Rich couldn’t count the number of Yankees games he had seen with his father. They both shared a lifelong interest in baseball,Rich couldn’t count the number of Yankees games he had seen with his father. They both shared a lifelong interest in football
Getting both himself and his car to work on the neighboring island was time-consuming. Every morning he drove for a few minutes and then boarded the ferry,Getting both himself and his car to work on the neighboring island was time-consuming. Every morning he drove for a few minutes and then boarded the canoe
The patient was in critical condition and the ambulance wouldn’t be fast enough. They decided they would have to use the helicopter,The patient was in critical condition and the ambulance wouldn’t be fast enough. They decided they would have to use the plane
"Amy was very anxious about traveling abroad for the first time. She felt surprisingly better, however, when she actually boarded the plane","Amy was very anxious about traveling abroad for the first time. She felt surprisingly better, however, when she actually boarded the helicopter"
"The day before the wedding, the kitchen was just covered with frosting. Annette’s sister was responsible for making the cake","The day before the wedding, the kitchen was just covered with frosting. Annette’s sister was responsible for making the cookies"
The little girl was happy that Santa Claus left nothing but crumbs on the plate. She decided he must have really enjoyed the cookies,The little girl was happy that Santa Claus left nothing but crumbs on the plate. She decided he must have really enjoyed the cake
"He wanted to make his wife breakfast, but he burned piece after piece. I couldn’t believe he was ruining even the toast","He wanted to make his wife breakfast, but he burned piece after piece. I couldn’t believe he was ruining even the pancakes"
She keeps twirling it around and around under her collar. Stephanie seems really happy that Dan gave her that necklace,She keeps twirling it around and around under her collar. Stephanie seems really happy that Dan gave her that bracelet
She wanted to make her eyelashes look really black and thick. So she asked to borrow her older friend’s mascara,She wanted to make her eyelashes look really black and thick. So she asked to borrow her older friend’s lipstick
"He complained that after she kissed him, he couldn’t get the red color off his face. He finally just asked her to stop wearing that lipstick","He complained that after she kissed him, he couldn’t get the red color off his face. He finally just asked her to stop wearing that mascara"
Eleanor offered to fix her visitor some coffee. Then she realized she didn’t have a clean cup,Eleanor offered to fix her visitor some coffee. Then she realized she didn’t have a clean bowl
"My aunt fixed my brother some cereal using her best china. Of course, the first thing he did was drop the bowl","My aunt fixed my brother some cereal using her best china. Of course, the first thing he did was drop the cup"
"At the dinner party, I wondered why my mother wasn’t eating her soup. Then I noticed that she didn’t have a spoon","At the dinner party, I wondered why my mother wasn’t eating her soup. Then I noticed that she didn’t have a knife"
"In the dorms, cutting your steak can be a huge struggle. They always give you such a poor quality knife","In the dorms, cutting your steak can be a huge struggle. They always give you such a poor quality spoon"
"He journeyed to the African plains, hoping to get a photograph of the king of the beasts. Unfortunately, the whole time he was there he never saw a lion","He journeyed to the African plains, hoping to get a photograph of the king of the beasts. Unfortunately, the whole time he was there he never saw a tiger"
George was hiking in India when he saw the orange and black striped animal leap out at him. He sustained serious injuries before he managed to kill the tiger,George was hiking in India when he saw the orange and black striped animal leap out at him. He sustained serious injuries before he managed to kill the lion
Wendy wondered how they had managed to ship such a large animal all the way from China. She waited in line to see the newly acquired panda,Wendy wondered how they had managed to ship such a large animal all the way from China. She waited in line to see the newly acquired otter
"Barb loved the feel of the waves on her feet, but she hated to walk barefoot. As a compromise, she usually wore a pair of sandals","Barb loved the feel of the waves on her feet, but she hated to walk barefoot. As a compromise, she usually wore a pair of boots"
"By the end of the day, the hiker’s feet were extremely cold and wet. It was the last time he would ever buy a cheap pair of boots","By the end of the day, the hiker’s feet were extremely cold and wet. It was the last time he would ever buy a cheap pair of sandals"
Everyone agreed that the stone-washed kind were out of style. But he continued to wear the same old pair of jeans,Everyone agreed that the stone-washed kind were out of style. But he continued to wear the same old pair of shorts
"As the afternoon progressed, it became hotter and hotter. Keith finally decided to put on a pair of shorts","As the afternoon progressed, it became hotter and hotter. Keith finally decided to put on a pair of jeans"
Pablo wanted to cut the lumber he had bought to make some shelves. He asked his neighbor if he could borrow her saw,Pablo wanted to cut the lumber he had bought to make some shelves. He asked his neighbor if he could borrow her hammer
"Tina lined up where she thought the nail should go. When she was satisfied, she asked Bruce to hand her the hammer","Tina lined up where she thought the nail should go. When she was satisfied, she asked Bruce to hand her the saw"
"The snow had piled up on the drive so high that they couldn’t get the car out. When Albert woke up, his father handed him a shovel","The snow had piled up on the drive so high that they couldn’t get the car out. When Albert woke up, his father handed him a rake"
The yard was completely covered with a thick layer of dead leaves. Erica decided it was time to get out the rake,The yard was completely covered with a thick layer of dead leaves. Erica decided it was time to get out the shovel
"Fred went to the pantry and got out the homemade jelly his grandmother had brought. Fifteen minutes later, however, he was still struggling to open the jar","Fred went to the pantry and got out the homemade jelly his grandmother had brought. Fifteen minutes later, however, he was still struggling to open the box"
"After they unpacked the new refrigerator, they let Billy have his fun. He played for days afterwards with the big box","After they unpacked the new refrigerator, they let Billy have his fun. He played for days afterwards with the big jar"
It seemed to catch every time she opened or closed her backpack. She decided she would have to replace the zipper,It seemed to catch every time she opened or closed her backpack. She decided she would have to replace the button
"One fell off her blouse and got lost, and she didn’t have any extras. She ended up searching all over town to find a matching button","One fell off her blouse and got lost, and she didn’t have any extras. She ended up searching all over town to find a matching zipper"
“I’m an animal like Eeyore!” the child exclaimed. His mother wondered why he was pretending to be a donkey,“I’m an animal like Eeyore!” the child exclaimed. His mother wondered why he was pretending to be a zebra
"At the zoo, my sister asked if they painted the black and white stripes on the animal. I explained to her that they were natural features of a zebra","At the zoo, my sister asked if they painted the black and white stripes on the animal. I explained to her that they were natural features of a donkey"
