sent1,sent2,sim
A woman cuts up a vegetable.,A woman is slicing egg plant.,2.25
A man is slicing a potato.,A woman is peeling a potato.,2.333
A person uses a blowtorch on two cameras.,A person is burning cameras.,2.333
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,2.333
A man is giving a lecture on a podium.,A man is delivering a lecture at an event celebrating the game of cricket.,2.333
A man is cutting up a potato.,A man is cutting up carrots.,2.375
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,2.4
Someone is playing a piano.,Someone is playing guitar.,2.4
A woman puts slabs of meat in a pan.,A man puts pieces of meat into a plastic bag.,2.4
The man is seasoning the sausages.,The man added seasoning to water in a bowl.,2.4
A car backs out of a space.,A car is taking reverse.,2.4
A man is dicing an onion.,A woman is cutting an onion.,2.5
A woman is slicing a potato.,A woman is slicing carrot.,2.5
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,2.5
A man is running with a bus.,A man runs with a truck.,2.5
Someone is greating a carrot.,A woman is grating an orange food.,2.5
A monkey is karate kicking a person.,A monkey pratices martial arts.,2.5
A man is pouring chili into a bowl.,A man opens a can and pours the contents into a bowl.,2.5
The man was pushed into the water.,A man pushes another man into the ocean.,2.5
A slow loris bites a persons fingers.,A small animal is chewing on a finger.,2.5
The girl is tiding up her bed.,A woman is making a bed.,2.5
A man is karate kicking at another man wearing protective boxing gloves.,A man is kick boxing with a trainer.,2.5
A man is cutting a paper.,A person is tearing paper.,2.583
A man is peeling a potato.,A man is slicing a potato.,2.6
A woman is chopping broccoli.,A woman is chopping garlic.,2.6
A woman is dancing.,The man is dancing.,2.6
Women are talking.,The men are talking.,2.6
A girl is putting gel in her hair.,A woman is putting gel on her hair.,2.6
A girl is eating a cupcake.,A woman is eating a cupcake.,2.6
A girl is playing a violin.,A girl is playing a flute.,2.6
A boy and a girl is dancing in the rain.,A man and woman is dancing in the rain.,2.6
A little girl is playing a grand piano on stage.,A little girl is playing the piano.,2.6
A girl is coming up on a car.,A girl jumps on top of a car.,2.6
The men are performing on stage.,The comedic mimes performed on stage.,2.6
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,2.6
Men are running a race.,Racers are running down a track.,2.6
A lion is walking in an enclosed area.,A lion is walking around.,2.6
Girls are walking on the stage.,Women models are walking down a catwalk.,2.6
Some men are skating on the road.,Two boys are skate boarding.,2.6
A man pours liquid into a pan.,The chef poured oil in the pan.,2.6
The animal with the big eyes is eating.,A slow loris is eating.,2.6
The women are sitiing down.,Two women are sitting close to each other and talking.,2.6
A person breaks an egg into a small bowl.,A man cracks an egg.,2.6
A woman is slicing a lemon.,"A woman, in a kitchen, peels a lemon.",2.667
A dog knocks a boy into the water twice.,A dog pushes a toddler into a rain puddle.,2.692
A man is playing a guitar.,A woman is playing the guitar.,2.75
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,2.75
A little girl peddling a scooter.,A girl is riding a scooter.,2.75
A person drops a camera down an escelator.,A man tosses a bag down an escalator.,2.75
A boy is running on a beach.,Two boys are playing in the beach.,2.75
A man takes a piece of pepperoni pizza out of a pizza box and puts it on the lid after he closes the box.,The man took a piece of pepperoni pizza out of the box.,2.75
A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,2.75
A woman serving volleyballs over a net.,One woman hands volleyballs to another woman who serves them.,2.75
The dog could not figure out how to get a stick out the doggy door.,A dog is trying to get through his dog door.,2.75
A girl is applying makeup on her face.,A woman is putting on makeup.,2.75
The girl danced in front of the bonfire.,A woman is dancing to music standing near a bonfire.,2.75
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,2.75
A woman is stirring rice in a pot.,Someone is putting rice in a pan.,2.769
A girl is playing a guitar.,A man is playing a guitar.,2.8
A girl is singing on stage.,A man is singing on stage.,2.8
A woman is riding a horse.,A woman is riding a donkey.,2.8
A girl is playing a guitar.,A man is playing a guitar.,2.8
A woman is riding a horse.,A man rides a horse.,2.8
A cartoon woman dives into a pool.,A cartoon woman is diving off a board.,2.8
Someone is cleaning a animal.,A woman is cleaning a shrimp.,2.8
An airplane moves along a runway.,A plane is landing on a runway.,2.8
A boy is playing the violin onstage.,A boy is playing an instrument.,2.8
The woman is putting makeup on the man.,A woman is painting the face of a man.,2.8
A woman shoots a shotgun.,The woman is shooting a rifle.,2.8
The lady made some slices on the shrimp.,A chef is slicing a shrimp.,2.8
The doctor was helping the patient.,Doctors are trying to revive a man.,2.8
A man is writing in a book.,A man is writing on a paper.,2.875
A man is crying.,A man is screaming.,3
A man is exercising.,A girl is exercising.,3
A woman is adding oil to a pan.,A man is pouring oil into a pan.,3
The man is hiking in the woods.,A man is tracking in the wood.,3
A boy is playing the piano.,A man is playing a piano.,3
The man erased what the other man had on the board.,The man erased the work on the board.,3
A cat stares into the camera.,A cat addresses the camera.,3
An animal is walking on the ground.,A solenodon is walking along the ground.,3
A girl dances in the rain.,A woman is dancing in the rain.,3
The man is singing and playing the guitar.,A man is playing a guitar.,3
Someone is cracking an egg open.,A man is breaking an egg.,3
A tiger is walking around his cage.,A tiger walks around aimlessly.,3
A parrot is talking.,A parrot is talking into a microphone.,3
A woman covers a piece of meat with flour.,A woman is seasoning a piece of meat.,3
A tiger trys to climb the wall.,A lion is trying to climb up over a wall.,3
Men are playing soccer.,Two teams play soccer.,3
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,3
Some children are jumping on Trampoline.,Two boy are playing on a trampoline.,3
A panda bear is chewing on a stick.,A baby panda plays with a stick.,3
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,3
A man is riding on one wheel on a motorcycle.,A person is performing tricks on a motorcycle.,3
A clown is singing and people are dancing.,A clown is singing.,3
A boy rode his bike on top of a metal fence.,A BMX biker rides along the top of a fence.,3
A baby eats his food.,A baby is being fed peas.,3
A woman feeds an animal by hand.,The women are feeding the animal.,3
A person is chopping an herb.,A man is finely chopping a green substance.,3
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,3
A boy runs away from his fishing line.,A boy is running in front of fish hanging on fishing rod.,3
The man played his guitar.,A guy is singing while playing his guitar.,3
A boy is playing with a toy.,A boy plays a handheld game.,3
A woman boils eggs.,A woman places two eggs into a pot of water.,3
The baby laughed in his car seat.,A baby is laughing.,3.1
A child is waking up.,A girl is waking up.,3.2
Two women are on a couch.,Two women are hugging on a couch.,3.2
A man is playing a guitar.,A man is playing a guitar and singing.,3.2
A man is playing a guitar and singing.,A man is playing a guitar.,3.2
Someone is slicing a tomato.,Someone is slicing fruit.,3.2
A woman is playing a guitar and singing.,A woman is playing the guitar.,3.2
A woman fires a shotgun.,A woman is shooting a gun.,3.2
A man is dangling a mouse near a snake.,A man is feeding a mice to a snake.,3.2
A person is slicing a bread pieces.,A man is slicing bread.,3.2
A man is talking on the phone.,A man is talking.,3.2
The woman is measuring the other woman.,The lady measured the other woman's ankle.,3.2
A man and woman are walking.,A man and woman walking hold each other.,3.2
A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,3.2
A woman dances on a stage.,A woman is dancing.,3.2
A boy played a keyboard.,A person is playing a piano keyboard.,3.2
A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,3.2
A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,3.2
A young child rides a horse.,The little girl rode a horse.,3.2
A man is coming out into the water.,A man rises from a swamp.,3.2
A dog is running around a yard.,A black pet dog runs around in the garden of a house.,3.2
The man is exercising.,A man is doing pull-ups.,3.2
A woman is slicing an onion.,Someone is slicing a onion.,3.25
A man is carrying another man over his shoulder.,A man is carrying someone on his shoulder.,3.25
A woman is dancing in a cage.,A woman is dancing.,3.25
A woman is peeling an onion.,The woman is slicing green onions.,3.25
A man is dancing on the road.,A man is dancing.,3.25
A man with glasses is talking.,A man in a library is talking.,3.25
A man is riding a bicycle.,A man is riding a bicycle around a parking lot.,3.25
A soccer player is kicking the soccer ball into the goal from a long way down the field.,A soccer player kicks the ball into the goal.,3.25
A baby monkey scratches itself.,The monkey scratched his tummy.,3.25
A young boy sings and plays a guitar.,A kid plays the guitar.,3.25
The bird ate the food in the tree from a bowl.,A bird is eating from a bowl.,3.25
Meat is dropped into a pan.,A woman is putting meat in a pan.,3.25
A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.,3.333
A gorilla is playing the drums.,A monkey is playing drums.,3.333
A girl is playing the piano.,A little girl is playing a grand piano on stage.,3.333
A man is drawing some figures.,A man is drawing on a digital dry erase board.,3.333
A woman puts make-up on.,A woman is putting on eyeshadow.,3.333
A man is sweeping the floor of a house using a long broom.,The man swept the empty living room.,3.333
A group of couples are dancing.,Men and women are dancing slowly.,3.333
A panda bear is laying down.,A baby panda relaxes on some logs.,3.333
Two men are playing football.,Two men are practicing football.,3.4
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,3.4
a group of people dancing,A group of men are dancing.,3.4
Someone is reading an email.,A man is reading his email.,3.4
A man and a woman are walking in the woods.,A man and woman are walking through the jungle.,3.4
A man is speaking on a stage.,A man is speaking at a podium.,3.4
A woman is slicing a big pepper.,A person is cutting a green pepper.,3.4
A white cat perched on a small wooden cabinet is looking outside the window.,"A cat, perched on a table, looks out the window.",3.4
A woman is exercising.,A woman lifts weights.,3.4
A guy is riding a horse.,A man is riding a horse in the desert.,3.4
A man plays a trumpet.,A man is playing a musical instrument.,3.4
The man added vegetables to the broth in the pot.,A man is adding sliced vegetables to a cooking bowl with water.,3.4
The man ran and jumped against the wall.,A man jumps into a wall.,3.4
the soccer player kicked the ball side to side between his legs.,A person is kicking a soccer ball back and forth between his feet.,3.4
The man took off his sunglasses while talking.,A man wearing a hard hat removes his glasses as he speaks.,3.4
Someone drew on Washington's face on the dollar.,A person draws on a dollar bill.,3.4
A person folds a tortilla.,A man folds a tortilla.,3.5
A person is driving a car.,A man is driving a car.,3.5
A man is riding a motorcycle.,A man is riding a motorcycle through a town.,3.5
A man is riding a motorcycle on the highway.,A man is riding a motorcycle.,3.5
A skateboarder does tricks on a half-pipe.,A man skateboards on a half pipe.,3.5
A person is walking down a stone path.,A man is walking down a sidewalk.,3.5
"A woman tosses a cat in the air, and the cat hangs off a rod on the ceiling.",A person throws a cat in the air and it grabs onto the ceiling.,3.5
The dog is barking at the toy.,A dog is barking at an electronic toy duck.,3.5
A woman is adding an egg and stirring.,A woman is mixing an egg in a bowl.,3.5
A puppy is repeatedly rolling from side to side while on its back.,A dog is rolling from side to side.,3.5
A woman is doing weight exercises.,A woman is exercising with a barbell.,3.5
A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something.,A bird picks up a plastic cup containing a liquid with it's beak and puts the cup into a bowl.,3.5
The man sang on stage into the microphone.,A man in a suit is standing at a microphone and singing.,3.5
A cat plays in his water.,The cat fished a straw out ouf his water dish.,3.5
A monkey is karate kicking at someone's gloved hand.,A monkey pratices martial arts.,3.5
A person is peeling shrimp.,A person is preparing shrimp.,3.6
A boy is playing a guitar.,A kid is playing a guitar.,3.6
A man is eating a pizza.,A man is eating a food.,3.6
Someone is seasoning eggs.,Someone is seasoning two raw eggs in a bowl.,3.6
A chicken is pecking at a dead mouse.,A rooster pecks at a dead mouse.,3.6
A man does floor exercises.,A man is exercising.,3.6
Someone is playing piano.,A person is playing a keyboard piano.,3.6
A dog is pawing at a fly in the carpet before it.,The dog played with a bug on the carpet.,3.6
A baby elephant is eating.,A baby elephant eats a sapling.,3.615
A man is cutting an onion.,A man is cutting a plantain.,3.667
The man is playing the guitar.,The man played his guitar.,3.667
A small boy is playing with a dog.,A baby is playing with a dog.,3.75
A woman is handling a frog.,A man is holding a frog.,3.75
A person is peeling a potato.,The man is peeling a potato.,3.75
A man is rapidly chopping some mushrooms using a knife.,A person is quickly chopping mushrooms with a knife.,3.75
A man cuts a potato.,A man is slicing a potato.,3.75
The boy cut the grass by the curb with scissors.,A boy cuts grass with scissors.,3.75
Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.,3.75
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,3.75
A person is folding a square paper piece.,A person folds a piece of paper.,3.75
The people are lifting bags.,Several people are carrying large bags.,3.75
A woman is adding spices on a meat.,A woman adds ingredients to beef.,3.75
A cook seasons some dough.,A man is seasoning some dough in a pan.,3.75
A cat opens a drawer and climbs inside.,A big cat opens a plastic drawer with his paws and then hops inside.,3.75
A man severs the toe of an empty leather boot using a sword.,A man is cutting a boot with a sword.,3.75
The man rode his motorcycle down the highway.,A person is driving a motorcycle on a road.,3.75
The flag was moving in the air.,A flag is waving.,3.75
A person is peeling shrimp.,A man is peeling shrimp.,3.8
Someone is slicing a cucumber.,A man is slicing a cucumber.,3.8
A cow is eating grass.,A cow is eating hay.,3.8
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,3.8
A man is picking up a tree.,A man is carrying a tree.,3.8
A kid is playing an instrument.,A young boy is playing a wind instrument.,3.8
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,3.8
A woman is playing the flute.,A girl is playing a flute.,3.8
A cat cleans itself.,A cat is licking itself.,3.8
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,3.8
A man laying down and shooting a gun,A man is laying on the ground shooting a rifle.,3.8
A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,3.8
A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,3.8
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,3.8
A person is whisking eggs in a bowl.,A woman is beating two eggs in a bowl using a wire whisk.,3.8
A person is adding chili powder to chili with beans.,The man is adding seasoning to the beans.,3.8
A girl is dragged downhill by a dog.,A dog is pulling a child down a hill.,3.8
Women are running.,Two women are running.,3.824
A person is rinsing a steak off with water.,A man is rinsing a large steak.,3.929
A cat is drinking milk.,A kitten is drinking milk.,4
A woman is tapping her fingers on a table.,A woman is tapping her fingers.,4
A woman is cutting a leak.,A woman is slicing a leek.,4
A man played the piano.,A man plays a piano.,4
A man is chopping a log with an axe.,A man is chopping a tree trunk with an axe.,4
Two men are fighting in a cow pasture.,Two men are fighting in a cattle pen.,4
Two boys on a couch are playing video games.,Two boys are playing a video game.,4
A man is riding a horse by a creek.,A man is riding a horse.,4
A woman is playing the guitar.,A person is playing a guitar.,4
A woman is cracking eggs into a bowl.,A woman is cracking eggs.,4
A person is playing the keyboard.,A boy is playing a key-board.,4
Someone slices a bottle with a sword.,A man breaks a bottle with a sword.,4
A little boy hits a golf ball.,The little boy swung at the golf ball.,4
A man is eating a bowl of cereal.,The man is eating cereal.,4
A person pours some rice pudding into a bowl.,The lady poured the rice pudding into a bowl.,4
The deer jumped over the fence.,A deer jumps over a cyclone fence.,4
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,4
The woman droppped eggplant into the pan.,A woman puts chopped eggplant into a skillet.,4
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,4
A woman with a knife is slicing a pepper.,A women slicing green pepper.,4
A woman cuts a pineapple.,A woman is slicing a pineapple into pieces.,4
A man is taking out the insides of a green pepper.,Someone is removing the seeds from a bell pepper.,4
A kitten is eating its food from a plate.,A kitten eats some food.,4
A man makes a call on a cell phone.,A man is making a phone call.,4
The man lifted barbells.,A man lifts weights.,4
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,4
A woman is shooting a gun.,A woman shoots a shotgun.,4.091
A woman is slicing an onion.,A woman is cutting an onion.,4.2
A woman thinly slices an onion with a large knife.,A woman is slicing onions with a large knife.,4.2
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,4.2
The baby is laughing and crawling.,A baby is laughing and crawling on the floor.,4.2
A cat swings on a ceiling fan.,A cat is spun around by a ceiling fan.,4.2
A monkey is brushing a bull dog.,A monkey brushes a dog.,4.2
A motorcyclist crashes on his motorcycle.,A person crashes on a motorcycle.,4.2
A man is lifting weights.,A man is lifting a barbell.,4.2
A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,4.2
A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,4.2
American flag is waving.,A American flag is blowing in the wind.,4.2
A man pours rice into a pot.,A man is putting rice in a bowling pot.,4.2
The man drilled holes into the wood.,A man drills wood.,4.2
A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,4.2
Two kids are playing in a swimming pool with a green colored crocodile float.,Two kids push an inflatable crocodile around in a pool.,4.2
A target is being hit with gun fire.,The target was being shot with bullets.,4.214
A person wipes butter on a tray.,A person is buttering a tray.,4.25
A woman is frying a food.,A woman is deep frying food.,4.25
A big turtle is walking.,The tortoise is walking.,4.25
A person is adding oil in the pan.,The cook pouring oil into the pan.,4.25
A boy plays violin on stage.,A boy is onstage playing the violin.,4.25
A cat and a ferret are playing.,A ferret and kitten play together.,4.25
The man is shaking hands with other men.,A man is shaking another mans hand.,4.333
The lady put the dried noodles in the hot water to cook.,A woman places a container of noodles in a pan of water.,4.333
A kitten is playing with a blue rope toy.,A kitten is playing with a toy.,4.4
A turtle is walking.,A tortoise is walking.,4.4
Someone is boiling okra in a pot.,Someone is cooking okra in a pan.,4.4
A small kitten is playing a ball.,A kitten is playing with a ball.,4.4
A girl makes up her bed.,A young girl makes her bed.,4.4
A woman is squeezing a lemon.,A woman is squeezing juice out of a lemon.,4.4
A man sliced through a bunch of water bottles with a knife.,A man is slicing a line of water bottles with a knife,4.4
A person is combing a cat hair.,A person is brushing a cat.,4.4
The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.,4.4
The woman is dicing onions.,A woman is cutting an onion.,4.4
A woman is bathing into bath-tub.,A woman is taking a bath.,4.4
A man plays the keyboard with his nose.,The man is playing the piano with his nose.,4.4
The boy played his trumpet.,A boy is playing the trumpet.,4.4
A man is cutting a rope with a sword.,The man slced through a thick rope with a sword.,4.4
A woman rapidly fires a handgun.,A woman is shooting off a gun.,4.4
The bird is taking a bath under the faucet.,A bird is bathing in a sink.,4.429
A man is slicing a cucumber.,A man is cutting cucumbers.,4.5
Two little girls talk on the telephone.,Two girls talk on the phone.,4.5
A woman is climbing a cliff.,A woman is climbing a rock face.,4.5
A band is performing on a stage.,A band is playing and singing on a stage.,4.5
The people threw the dummy over the cliff edge.,Some people are throwing a dummy off a cliff.,4.5
A rabbit is sniffing and pawing a stuffed rabbit.,A live rabbit is playing with a stuffed animal bunny.,4.5
A little boy is playing a guitar.,A boy is playing guitar.,4.6
The man is eating.,A man is eating food.,4.6
A person is slicing onions.,Someone is slicing an onion.,4.6
A man is dancing on the ceiling of a room.,A man is dancing upside-down on the ceiling.,4.6
A woman is applying cosmetics to her face.,A woman is putting on makeup.,4.6
A man is preparing a hanging rope.,A man is tying a noose.,4.667
A kangaroo is eating.,Kangaroo eating.,4.75
A boy is playing a key-board.,A little boy is playing a keyboard.,4.8
A man is dancing on the ceiling.,A man is dancing on the ceiling of a room.,4.8
The cat played with a watermelon.,A cat is playing with a watermelon.,4.8
A girl jumps on a car.,A girl is jumping onto a car.,4.8
A man stares out a window.,A man looks out the window.,4.8
A man is mowing grass.,A guy is mowing the lawn.,4.8
A man is playing guitar.,A man plays a guitar.,4.857
A man is driving a car.,A man drives a car.,4.875
A man is riding a bicycle.,A man is riding a bike.,5
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,5
A woman is cutting broccoli.,A woman is slicing broccoli.,5
Two men are fistfighting in a ring.,Two men fistfight in a ring.,5
The man is drawing.,A man is drawing.,5
A small dog laying on the bed.,A small dog is laying on a bed.,5
The man is slicing a potato.,A man is slicing potato.,5
The man is slicing a potato.,A man is slicing potato.,5
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,5
A woman is cutting an onion.,A woman is cutting through an onion.,5
A toy train is striking a toy car.,A toy train strikes a toy car.,5
A cat opens a drawer and climbs inside.,A cat is opening a drawer and climbing inside.,5
A woman plays the flute.,A woman is playing the flute.,5
A woman is brushing some shrimp.,A woman brushes some shrimp.,5
A man is playing a keyboard.,A man plays a keyboard.,5
A man plays the guitar.,A man is playing the guitar.,5
A woman is peeling a potato.,A woman peels a potato.,5
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,5
The dog is barking at the toy.,A dog is barking at a toy.,5
A woman is putting on sun glasses.,A woman puts on sunglasses.,5
The man is playing the guitar.,A man is playing guitar.,5
A man plays a guitar.,A man is playing a guitar.,5
The man is playing the drums.,A man is playing drums.,5
A man dives into a pool.,A man is diving into a pool.,5
A man dives into a pool.,A man dives into a swimming pool.,5
The man is smashing garlic.,A man is smashing some garlic.,5
A man is slicing an onion.,A man slices an onion.,5
Two robots kiss.,Two robots are kissing.,5
A man walking down the stairs.,A man walks down a staircase.,5
A woman is grating onion.,A woman grates onions.,5
A man is playing a musical keyboard.,A man is playing a keyboard piano.,5
A woman cuts up broccoli.,A woman is cutting broccoli.,5
A man plays a trumpet.,A man is playing the trumpet.,5
The man is peeling an apple.,A man peels an apple.,5
The lady put the baby int a trashcan.,A woman puts a baby in a trash can.,5
A man is firing a shot gun.,A man shoots a shotgun.,5
The person is starting a fire.,A person makes fire.,5
The person is removing the scales from the fish.,A person is descaling a fish.,5
A man plays the guitar and sings.,A man is singing and playing a guitar.,5
The man is using a sledghammer to break the concrete block that is on the other man.,A man breaks a slab of concrete that is lying on a prone man with a sledge hammer.,5
